Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1 uf,C_0603_1608Metric,145.288,-84.836,0.0,top
C2,0.1 uf,C_0603_1608Metric,149.098,-104.94,0.0,top
IC1,WS2811,SO08-SKINNYPADS,139.446,-85.598,-90.0,top
IC2,WS2811,SO08-SKINNYPADS,143.256,-105.194,-90.0,top
J1,Conn_01x03_Male,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,131.572,-95.25,-90.0,top
J2,Conn_01x03_Male,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,154.224,-95.29,90.0,top
R1,33,R_0603_1608Metric,145.288,-86.36,180.0,top
R2,100,R_0603_1608Metric,145.288,-83.312,180.0,top
R3,33,R_0603_1608Metric,149.098,-106.464,180.0,top
R4,100,R_0603_1608Metric,149.098,-103.416,180.0,top
U1,RGBAW+UV,RGBWA+UV,143.002,-87.213,0.0,top
