Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1 uf,C_0603_1608Metric,102.0,-52.75,90.0,top
C2,0.1 uf,C_0603_1608Metric,121.525,-57.0,0.0,top
IC1,WS2811,SO08-SKINNYPADS,100.938044,-56.948659,-90.0,top
IC2,WS2811,SO08-SKINNYPADS,115.25,-56.75,-90.0,top
J1,3PinJSTInput,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,93.488044,-112.278659,90.0,bottom
J2,3PinJSTOutput,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,175.888044,-79.373659,270.0,bottom
JP1,Jumper,PinHeader_1x03_P2.54mm_Vertical,111.188044,-68.183659,0.0,top
JP2,Jumper,PinHeader_1x03_P2.54mm_Vertical,106.438044,-68.448659,0.0,top
JP3,Jumper,PinHeader_1x03_P2.54mm_Vertical,101.188044,-68.448659,0.0,top
JP4,Jumper,PinHeader_1x03_P2.54mm_Vertical,116.138044,-68.223659,0.0,top
JP5,Jumper,PinHeader_1x03_P2.54mm_Vertical,125.188044,-68.393659,0.0,top
JP6,Jumper,PinHeader_1x03_P2.54mm_Vertical,120.688044,-68.223659,0.0,top
Q1,AO3400A,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,115.948044,-95.948659,180.0,top
Q2,AO3400A,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,119.448044,-92.948659,180.0,top
Q3,AO3400A,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,124.188044,-90.698659,180.0,top
Q4,AO3400A,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,111.938044,-99.398659,180.0,top
Q5,AO3400A,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,104.438044,-107.198659,180.0,top
Q6,AO3400A,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,108.188044,-103.198659,180.0,top
R1,33,R_0603_1608Metric,107.325,-53.25,180.0,top
R2,100,R_0603_1608Metric,104.0,-52.75,-90.0,top
R3,33,R_0603_1608Metric,110.075,-61.25,0.0,top
R4,100,R_0603_1608Metric,121.5,-55.0,180.0,top
R5,1k,R_0603_1608Metric,113.5,-92.325,-90.0,top
R6,10k,R_0603_1608Metric,111.863044,-94.698659,0.0,top
R7,1k,R_0603_1608Metric,118.938044,-89.623659,-90.0,top
R8,10k,R_0603_1608Metric,116.363044,-90.198659,0.0,top
R9,1k,R_0603_1608Metric,124.113044,-87.448659,-90.0,top
R10,10k,R_0603_1608Metric,121.513044,-88.448659,0.0,top
R11,1k,R_0603_1608Metric,109.013044,-96.448659,-90.0,top
R12,1k,R_0603_1608Metric,102.688044,-104.023659,-90.0,top
R13,1k,R_0603_1608Metric,105.938044,-100.123659,-90.0,top
R14,10k,R_0603_1608Metric,108.263044,-98.948659,0.0,top
R15,10k,R_0603_1608Metric,100.188044,-106.448659,0.0,top
R16,10k,R_0603_1608Metric,103.613044,-101.448659,0.0,top
U1,RGBAW+UV,RGBWA+UV,134.478144,-94.496759,0.0,top
